Ticker,Exchange,Trades,Total Shares,Total Price Volume
A,B,239,24525,1.43E+06
A,C,5,599,35035.4
A,D,2364,288326,1.68E+07
A,J,518,30346,1.77E+06
A,K,1457,151869,8.85E+06
A,N,2020,303486,1.77E+07
A,P,2246,141092,8.24E+06
A,Q,2415,210866,1.23E+07
A,W,138,16154,942533
A,X,14,1429,83441.8
A,Y,264,24994,1.46E+06
A,Z,1295,124417,7.26E+06
AA,B,6604,1528557,1.63E+07
AA,C,477,198035,2.11E+06
AA,D,32563,16605582,1.77E+08
AA,J,6048,1273360,1.36E+07
AA,K,7058,3176051,3.38E+07
AA,M,2,37372,398130
AA,N,5266,6417224,6.84E+07
AA,P,8647,2590193,2.76E+07
AA,Q,8697,2882158,3.07E+07
AA,W,459,93712,998570
AA,X,864,219624,2.34E+06
AA,Y,4792,897286,9.56E+06
AA,Z,11535,4194419,4.47E+07
AADR,D,3,695,26037.8
AADR,J,0,0,0
AADR,K,7,1490,55275
AADR,P,7,1361,50432.5
AADR,Z,0,0,0
AAIT,D,0,0,0
AAIT,Q,0,0,0
AAL,A,386,74964,2.18E+06
AAL,B,1578,251670,7.32E+06
AAL,C,1020,192905,5.61E+06
AAL,D,33514,10953930,3.19E+08
AAL,J,3387,575147,1.68E+07
AAL,K,14416,3675804,1.07E+08
AAL,M,10,922,27119
AAL,P,11057,2605384,7.58E+07
AAL,Q,14060,3713973,1.08E+08
AAL,W,465,102644,3.00E+06
AAL,X,502,71685,2.10E+06
AAL,Y,2034,314221,9.15E+06
AAL,Z,7447,1231381,3.59E+07
AALCP,C,18,7384,194492
AALCP,D,489,242601,6.40E+06
AALCP,J,116,32255,849851
AALCP,K,48,33964,894294
AALCP,P,401,185466,4.89E+06
AALCP,Q,789,361700,9.53E+06
AALCP,X,1,1000,26340
AALCP,Z,210,97880,2.58E+06
AAMC,A,29,997,976200
AAMC,B,0,0,0
AAMC,D,49,1543,1.51E+06
AAMC,J,0,0,0
AAMC,K,28,905,887468
AAMC,P,17,594,572828
AAMC,Q,17,701,682588
AAMC,Z,27,848,826435
AAME,D,7,2325,9388.01
AAME,P,0,0,0
AAME,Q,16,4500,18138.8
AAME,Z,0,0,0
AAN,B,140,13532,391134
AAN,C,4,1300,37514
AAN,D,1387,170316,4.93E+06
AAN,J,80,7167,207490
AAN,K,607,63200,1.83E+06
AAN,N,998,162311,4.70E+06
AAN,P,770,78425,2.27E+06
AAN,Q,1148,147887,4.28E+06
AAN,W,31,2797,81006.2
AAN,X,8,635,18361.1
AAN,Y,87,7856,227278
AAN,Z,676,68662,1.99E+06
AAOI,B,1,100,1416
AAOI,D,85,11499,163312
AAOI,J,13,1247,17693.2
AAOI,K,38,3857,54907.2
AAOI,P,52,4125,58996.6
AAOI,Q,165,13769,196276
AAOI,W,8,724,10312.1
AAOI,X,3,185,2622.09
AAOI,Y,8,924,13037.4
AAOI,Z,18,1583,22683.5
AAON,B,130,13694,429123
AAON,D,521,72117,2.26E+06
AAON,J,20,1941,61101.9
AAON,K,121,10478,329317
AAON,P,296,23226,731940
AAON,Q,523,41409,1.30E+06
AAON,W,6,344,10769.1
AAON,X,11,1921,60471.1
AAON,Y,28,2576,81020.6
